authorID,fullName
b500126,"Gustave, Aimard"
b500127,"Wilkie, Collins"
b500128,"Addie, Chisholm"
b500129,"Bram, Stoker"
b50013,"Georg, Ebers"
b500130,"Mrs., Inchbald"
b500131,"Frederick, Reynolds"
b500132,"Harry Vincent, Wann"
b500133,"Xueqin, Cao"
b500134,"H. Bencraft, Joly"
b500135,"Mary, Cholmondeley"
b500136,"Charlotte Perkins, Gilman"
b500137,"John Charles, Van Dyke"
b500138,"Lillian William, Betts"
b50014,"Vincent, Napoli"
b500140,"Harriet, Martineau"
b500141,"Lothrop, Stoddard"
b500142,"Percy, Marks"
b500143,"Owen, Wister"
b500144,"Dante, Non"
b500145,"Henry Wadsworth, Longfellow"
b500146,"George, Meredith"
b500147,"Mary L., Code"
b500148,"W. H. (William Henry), Hudson"
b500149,"Stanley R., Matthews"
b50015,"H. Beam, Piper"
b500150,"Ernest, Bramah"
b500151,"Will, Irwin"
b500152,"Ben, Goodkind"
b500153,"Alice Moore, Dunbar-Nelson"
b500154,"Lilian, Garis"
b500155,"Thomas, Carlyle"
b500156,"Andrew, Stephenson"
b500157,"Arthur, Stringer"
b500158,"Harvey, Dunn"
b500159,"Frank V., Webster"
b50016,"Robert, Burns"
b500160,"Edward, Lambert"
b500161,"George Barr, McCutcheon"
b500162,"Henry W., Brown"
b500163,"William T., Preyer"
b500164,"P. G. (Pelham Grenville), Wodehouse"
b500165,"Carey, Rockwell"
b500166,"Louis, Glanzman"
b500167,"Willy, Ley"
b500168,"Lucien, Wolf"
b500169,"Henry, James"
b50017,"Harry L., Miller"
b500170,"E. J. (Edith Janice), Craine"
b500171,"L. (Lassa), Oppenheim"
b500172,"William, Morris"
b500173,"Richard Harding, Davis"
b500174,"A. Hamilton (Alexander Hamilton), Thompson"
b500175,"H. Rider (Henry Rider), Haggard"
b500176,"Reginald Bathurst, Birch"
b500177,"Leona, Dalrymple"
b500178,"George Washington, Crile"
b500179,"Jane, Burr"
b50018,"Dick, Hartley"
b500180,"Henry Seton, Merriman"
