authorID,fullName,firstName,surName,title
a0441, Haldeman-Julius, E. (Emanuel), E. (Emanuel), Haldeman-Julius, 
a0442, Barhite, Jared, Jared, Barhite, 
a0443, Kingsley, Florence Morse, Florence Morse, Kingsley, 
a0444, Dumas, Alexandre, Alexandre, Dumas, 
a0445, Noll, Ray C., Ray C., Noll, 
a0446, Van Dongen, H. R., H. R., Van Dongen, 
a0447, Lytton, Edward Bulwer Lytton, Baron, Edward Bulwer Lytton, Lytton, Baron
a0448, Winter, Milo, Milo, Winter, 
a0449, Ruskin, John, John, Ruskin, 
a045, Thayer, Thomas P., Thomas P., Thayer, 
a0450, Danckaerts, Jasper, Jasper, Danckaerts, 
a0451, Jameson, J. Franklin (John Franklin), J. Franklin (John Franklin), Jameson, 
a0452, James, Bartlett Burleigh, Bartlett Burleigh, James, 
a0453, Mills, John, John, Mills, 
a0454, Bellamy, Edward, Edward, Bellamy, 
a0455, Lawson, Henry, Henry, Lawson, 
a0456, Gray, Lucy, Lucy, Gray, 
a0457, Hough, Emerson, Emerson, Hough, 
a0458, Newnes, George, George, Newnes, 
a0459, Freytag, Gustav, Gustav, Freytag, 
a046, Caine, Hall, Sir, Hall, Caine, Sir
a0460, Fontane, Theodor, Theodor, Fontane, 
a0461, Lillie, R., R., Lillie, 
a0462, Pryor, Sara Agnes Rice, Sara Agnes Rice, Pryor, 
a0463, Dodge, William de Leftwich, William de Leftwich, Dodge, 
a0464, D'Ooge, Benjamin L. (Benjamin Leonard), Benjamin L. (Benjamin Leonard), D'Ooge, 
a0465, Troward, T. (Thomas), T. (Thomas), Troward, 
a0466, Dostoyevsky, Fyodor, Fyodor, Dostoyevsky, 
a0467, Munsey, Frank Andrew, Frank Andrew, Munsey, 
a0468, Wilson, Joseph Robert, Joseph Robert, Wilson, 
a0469, Byron, George Gordon Byron, Baron, George Gordon Byron, Byron, Baron
a047, Royce, Charles C., Charles C., Royce, 
a0470, Cooper, William, William, Cooper, 
a0471, Glass, Montague, Montague, Glass, 
a0472, Browne, Gordon, Gordon, Browne, 
a0473, Henty, G. A. (George Alfred), G. A. (George Alfred), Henty, 
